company_id,company_name,cash_flow_date,fiscal_year,period_label,period,version,revenue,net_sales,net_sales_local,net_sales_at_entry,net_sales_at_entry_local,adj_ebitda,ltm_adj_ebitda,ebitda,ltm_ebitda_actual,ltm_ebitda_actual_local,ltm_ebitda_at_entry,ltm_ebitda_at_entry_local,ltm_credit_agreement_ebitda,ltm_free_cash_flow,ltm_capex,ltm_cash_interest,ltm_cash_taxes,ltm_change_nwc,ltm_principal_payments,cash,net_debt,net_debt_local,net_debt_at_entry,net_debt_at_entry_local,net_debt_credit_agreement,total_gross_debt,floating_rate_debt,fixed_rate_debt,pik_debt,senior_secured_debt,other_debt,net_leverage,net_leverage_at_entry,gross_leverage,total_net_leverage,senior_secured_leverage,interest_coverage,debt_service_coverage,tev,tev_local,tev_at_entry,tev_at_entry_local,tev_to_ebitda,tev_to_ebitda_at_entry,tev_to_revenue,tev_to_revenue_at_entry,gross_irr,gross_moi,total_cost,unrealized_value,realized_proceeds,total_value,fund_current_ownership,fund_ownership_at_entry,tsg_current_ownership,tsg_ownership_at_entry,adj_ebitda_margin_pct,ebitda_margin_pct,gross_margin_pct,gross_profit,ltm_revenue
a8498cce-61d8-4417-8778-76b4df2680a7,Radiance Holdings,2024-12-31,2024,2024,Annual,Actual,,,,68.371546,,,,28.430183,28.430183,,,,,,5.728934,18.681719,0.345398,-0.967078,,,180.805903,,165.0,,,188.211386,188.211386,,0.0,,0.0,,,6.620126,6.359646,6.620126,,1.106745,433.756706,,,,15.256909,15.453279,,,,1.1,,239.0,15.0,254.0,0.904724,0.904724,,,,,,,
a8498cce-61d8-4417-8778-76b4df2680a7,Radiance Holdings,2025-12-31,2025,2025,Annual,Actual,,,,68.371546,,,,29.4091,29.4091,,,,,,4.1349,14.353,0.2549,0.4688,,,183.342243,,165.0,,,188.952779,188.952779,,0.0,,0.0,,,6.369553,6.180423,6.369553,,1.561775,452.2,,,,15.376193,15.453279,,,,1.1,,239.0,15.0,254.0,0.904724,0.904724,,,,,,,
d46d3f2b-1254-4e9e-b656-032981fd5d4b,Revolut,2020-12-31,2020,2020,Annual,Actual,,,,,251.619873,,,,,,,-186.663619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6010.282446,-50.039733,-32.198467,,,,1.0,,100.74247,0.0,100.74247,,,,,,,,,
d46d3f2b-1254-4e9e-b656-032981fd5d4b,Revolut,2021-12-31,2021,2021,Annual,Actual,,,,,249.398441,,,,,,,-185.015655,,,,,,,,,,-776.190332,,,,,,,,,,,,,,,,,,,,5957.220516,214.021373,-32.198467,,,,4.96705,,495.975121,0.0,495.975121,0.012494,0.013269,,,,,,,
d46d3f2b-1254-4e9e-b656-032981fd5d4b,Revolut,2022-12-31,2022,2022,Annual,Actual,,,,,227.011746,,,,,,,-168.408137,,,,,,,,,,-599.693064,,,,,,,,,,,,,,,,,,,,5422.483896,627.657926,-32.198467,,,,3.950793,,359.087466,0.0,359.087466,0.012583,0.013269,,,,,,,
d46d3f2b-1254-4e9e-b656-032981fd5d4b,Revolut,2023-12-31,2023,2023,Annual,Actual,,,,,237.333829,,,,,,,-176.06555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5669.040868,35.912972,,,,,3.945888,,375.41495,0.0,375.41495,0.012359,0.013269,,,,,,,
d46d3f2b-1254-4e9e-b656-032981fd5d4b,Revolut,2024-12-31,2024,2024,Annual,Actual,,,,,235.480737,,,,,,,-174.690839,,,,,,,,,,,,,,0.0,0.0,,0.0,,0.0,,,,,,,,,,,5624.777252,28.136702,,,,,7.0,,664.627827,0.0,664.879675,0.011654,0.013269,,,,,,,
d46d3f2b-1254-4e9e-b656-032981fd5d4b,Revolut,2025-12-31,2025,2025,Annual,Actual,,,,,252.657245,,,,,,,-187.433191,,,,,,,,,,,,,,0.0,0.0,,0.0,,0.0,,,,,,,,,,,6035.061469,29.659699,,,,,11.2,,1138.026316,0.0,1137.620988,0.011228,0.013269,,,,,,,
62aae571-fd8c-4602-ac2c-6e99c04a1d04,Rough Country,2014-12-31,2014,2014,Annual,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62aae571-fd8c-4602-ac2c-6e99c04a1d04,Rough Country,2015-12-31,2015,2015,Annual,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
